"Time","Humidity Run 1","Light Run 1","Pressure Run 1","Pressure Run 1","Sound Run 1","Temperature Run 1",Comment
"s","%RH","lx","kPa","kPa","dBA","°C"
"476.16","47.7","219","100.3","98.60","73.8","35.0"
"477.12","47.6","218","100.3","98.62","45.3","35.1"
"478.08","47.6","222","100.3","98.61","40.0","35.1"
"479.04","47.5","221","100.3","98.58","62.2","35.1"
"480","47.5","224","100.3","98.62","50.3","35.1"
"480.96","47.4","153","100.3","98.59","78.3","35.1"
"481.92","47.4","90","100.3","98.60","71.3","35.1"
"482.88","47.4","131","100.3","98.62","63.5","35.1"
"483.84","47.3","190","100.3","98.65","78.0","35.1"
"484.8","47.3","192","100.3","98.59","72.2","35.1"
"485.76","47.2","190","100.3","98.61","81.9","35.2"
"486.72","47.2","192","100.3","98.59","55.8","35.2"
"487.68","47.1","191","100.3","98.60","78.3","35.2"
"488.64","47.1","174","100.3","98.60","53.9","35.2"
"489.6","47.1","127","100.3","98.63","65.5","35.2"
"490.56","47.0","98","100.3","98.59","57.2","35.2"
"491.52","46.9","190","100.3","98.60","42.1","35.2"
"492.48","46.9","224","100.3","98.60","64.3","35.3"
"493.44","46.9","218","100.5","98.60","60.2","35.3"
"494.4","46.8","91","100.3","98.62","83.5","35.2"
"495.36","46.8","15","100.3","98.60","71.5","35.3"
"496.32","46.7","5","100.5","98.63","75.7","35.3"
"497.28","46.7","51","100.3","98.61","68.8","35.3"
"498.24","46.7","125","100.3","98.63","61.0","35.3"
"499.2","46.6","305","100.5","98.64","40.0","35.3"
"500.16","46.5","368","100.3","98.59","56.1","35.3"
"501.12","46.4","369","100.5","98.62","68.9","35.3"
"502.08","46.3","542","100.5","98.56","69.4","35.3"
"503.04","46.2","787","100.5","98.61","47.4","35.3"
"504","46.1","835","100.5","98.61","65.9","35.3"
"504.96","46.1","882","100.5","98.56","63.3","35.3"
"505.92","46.1","905","100.5","98.62","78.8","35.3"
"506.88","46.1","909","100.5","98.62","67.1","35.4"
"507.84","46.1","924","100.5","98.58","71.8","35.4"
"508.8","46.0","916","100.5","98.59","43.6","35.4"
"509.76","46.0","873","100.5","98.61","55.7","35.4"
"510.72","45.9","683","100.5","98.59","76.7","35.4"
"511.68","45.8","272","100.5","98.63","69.2","35.4"
"512.64","45.8","126","100.5","98.58","74.7","35.4"
"513.6","45.8","109","100.5","98.59","99.5","35.4"
"514.56","45.7","42","100.5","98.63","77.4","35.4"
"515.52","45.7","11","100.5","98.60","68.5","35.4"
"516.48","45.7","6","100.5","98.62","69.3","35.4"
"517.44","45.8","6","100.5","98.62","77.8","35.4"
"518.4","45.7","5","100.5","98.59","59.9","35.4"
"519.36","45.8","5","100.5","98.60","80.9","35.5"
"520.32","45.7","128","100.5","98.60","69.7","35.4"
"521.28","45.7","142","100.5","98.60","78.9","35.5"
"522.24","45.7","142","100.5","98.61","40.3","35.5"
"523.2","45.7","182","100.5","98.60","77.9","35.5"
"524.16","45.7","216","100.5","98.60","72.1","35.5"
"525.12","45.7","192","100.5","98.62","43.2","35.5"
"526.08","45.6","320","100.5","98.60","71.4","35.5"
"527.04","45.6","339","100.5","98.61","56.0","35.5"
"528","45.6","343","100.5","98.61","40.0","35.5"
"528.96","45.6","345","100.5","98.60","40.0","35.5"
"529.92","45.5","345","100.7","98.60","65.3","35.5"
"530.88","45.5","343","100.7","98.60","83.1","35.5"
"531.84","45.5","353","100.7","98.60","85.5","35.5"
"532.8","45.5","339","100.7","98.60","78.0","35.5"
"533.76","45.4","177","100.5","98.62","70.0","35.5"
"534.72","45.4","187","100.5","98.61","64.5","35.6"
"535.68","45.4","283","100.7","98.61","77.5","35.6"
"536.64","45.4","174","100.7","98.59","70.3","35.6"
"537.6","45.3","143","100.5","98.61","80.5","35.6"
"538.56","45.3","244","100.7","98.62","69.3","35.6"
"539.52","45.3","289","100.7","98.58","50.4","35.6"
"540.48","45.2","243","100.7","98.61","70.6","35.6"
"541.44","45.2","208","100.7","98.60","75.1","35.6"
"542.4","45.2","156","100.7","98.62","47.2","35.6"
"543.36","45.2","167","100.7","98.58","92.4","35.6"
"544.32","45.1","170","100.7","98.61","40.4","35.6"
"545.28","45.1","145","100.7","98.61","40.0","35.6"
"546.24","45.1","160","100.7","98.61","61.6","35.6"
"547.2","45.1","198","100.7","98.62","70.9","35.6"
"548.16","45.1","152","100.7","98.61","71.8","35.6"
"549.12","45.1","101","100.7","98.60","101.7","35.6"
"550.08","47.7","72","100.7","98.58","50.7","35.6"
"551.04","49.5","122","100.7","98.60","62.6","35.6"
"552","50.2","126","100.7","98.61","66.6","35.6"
"552.96","50.2","175","100.7","98.61","73.6","35.6"
"553.92","50.0","303","100.7","98.60","75.3","35.6"
"554.88","49.8","155","100.7","98.60","56.8","35.6"
"555.84","49.5","373","100.7","98.59","40.0","35.7"
"556.8","49.2","411","100.7","98.61","84.1","35.6"
"557.76","48.9","389","100.7","98.61","63.7","35.7"
"558.72","48.7","383","100.7","98.60","71.5","35.7"
"559.68","48.4","385","100.7","98.61","66.5","35.7"
"560.64","48.2","385","100.7","98.61","56.2","35.7"
"561.6","48.1","385","100.7","98.60","65.2","35.7"
"562.56","47.9","385","100.7","98.60","40.0","35.7"
"563.52","47.8","315","100.7","98.57","76.6","35.7"
"564.48","47.6","148","100.7","98.60","65.0","35.7"
"565.44","47.5","202","100.7","98.61","40.0","35.7"
"566.4","47.3","367","100.7","98.55","40.0","35.7"
"567.36","47.2","391","100.7","98.61","63.0","35.7"
"568.32","47.1","394","100.7","98.61","65.1","35.7"
"569.28","47.0","394","100.7","98.59","73.0","35.7"
"570.24","46.9","362","100.7","98.58","69.0","35.8"
"571.2","46.8","154","100.7","98.58","70.3","35.8"
"572.16","46.8","48","100.7","98.59","89.5","35.8"
"573.12","48.4","15","100.7","98.59","53.4","35.8"
"574.08","49.7","12","100.7","98.59","56.1","35.7"
"575.04","52.2","12","100.7","98.62","95.1","35.8"
"576","57.7","11","100.7","98.60","64.8","35.8"
"576.96","61.9","9","100.7","98.59","57.2","35.8"
"577.92","64.0","8","100.7","98.63","96.0","35.8"
"578.88","64.6","77","100.7","98.61","53.3","35.8"
"579.84","65.4","124","100.7","98.60","78.1","35.8"
"580.8","65.3","332","100.7","98.62","67.0","35.8"
"581.76","64.4","400","100.7","98.62","53.5","35.8"
"582.72","63.3","408","100.7","98.62","70.9","35.8"
"583.68","62.3","402","100.7","98.60","66.0","35.8"
"584.64","61.4","402","100.7","98.61","56.4","35.8"
"585.6","60.6","397","100.7","98.57","40.0","35.8"
"586.56","60.0","226","100.7","98.59","43.6","35.8"
"587.52","59.6","200","100.7","98.62","56.2","35.8"
"588.48","59.2","270","100.7","98.62","43.9","35.8"
"589.44","58.9","293","100.9","98.60","62.6","35.8"
"590.4","58.7","298","100.7","98.61","77.8","35.8"
"591.36","58.5","317","100.7","98.59","59.4","35.8"
"592.32","58.3","292","100.7","98.59","59.7","35.8"
"593.28","58.1","316","100.7","98.60","66.4","35.9"
"594.24","57.8","887","100.7","98.64","40.1","35.9"
"595.2","58.0","1000","100.7","98.60","40.0","35.8"
"596.16","58.1","1000","100.7","98.58","43.4","35.9"
"597.12","57.8","1000","100.7","98.60","72.2","35.9"
"598.08","57.5","1000","100.7","98.58","67.3","35.9"
"599.04","57.1","1000","100.7","98.62","40.0","35.9"
"600","56.6","1000","100.7","98.61","65.6","35.8"
"600.96","56.2","1000","100.7","98.60","48.3","35.9"
"601.92","55.7","1000","100.7","98.60","64.9","35.9"
"602.88","55.3","1000","100.7","98.61","55.3","35.9"
"603.84","54.9","1000","100.7","98.57","41.0","35.9"
"604.8","54.6","598","100.7","98.57","71.9","35.9"
"605.76","53.8","155","100.7","98.60","76.8","35.9"
"606.72","53.3","108","100.7","98.60","66.6","35.9"
"607.68","53.0","225","100.7","98.61","70.2","35.9"
"608.64","52.9","274","100.9","98.59","40.0","35.8"
"609.6","52.8","285","100.7","98.59","61.4","35.7"
"610.56","52.7","283","100.7","98.59","73.1","35.6"
"611.52","52.6","280","100.7","98.62","64.8","35.5"
"612.48","52.6","281","100.7","98.59","50.1","35.3"
"613.44","52.6","282","100.7","98.60","71.3","35.1"
"614.4","52.6","280","100.9","98.59","83.3","34.8"
"615.36","52.6","287","100.7","98.61","54.2","34.6"
"616.32","52.6","289","100.9","98.63","62.0","34.3"
"617.28","52.6","289","100.9","98.57","61.7","34.1"
"618.24","52.6","287","100.9","98.61","40.0","33.8"
"619.2","52.6","282","100.7","98.61","69.4","33.6"
"620.16","52.7","291","100.9","98.61","63.6","33.3"
"621.12","52.7","296","100.9","98.61","69.4","33.1"
"622.08","52.7","297","100.9","98.59","48.4","32.9"
"623.04","52.6","298","100.9","98.60","50.7","32.6"
"624","52.6","298","100.7","98.59","56.6","32.4"
"624.96","52.6","299","100.9","98.61","68.0","32.2"
"625.92","52.6","298","100.9","98.60","53.0","32.0"
"626.88","52.6","297","100.9","98.61","68.8","31.8"
"627.84","52.6","296","100.9","98.60","71.3","31.6"
"628.8","52.6","296","100.9","98.59","64.7","31.5"
"629.76","52.7","297","100.9","98.60","48.0","31.3"
"630.72","52.7","298","100.9","98.61","57.1","31.1"
"631.68","52.7","299","100.9","98.59","54.5","31.0"
"632.64","52.7","299","100.9","98.62","50.7","30.8"
"633.6","52.7","299","100.9","98.61","66.2","30.7"
"634.56","52.7","299","100.9","98.60","40.0","30.5"
"635.52","52.7","299","100.9","98.63","72.7","30.4"
"636.48","52.7","299","100.9","98.60","61.1","30.2"
"637.44","52.7","299","100.9","98.57","71.9","30.1"
"638.4","52.7","300","100.9","98.61","49.3","30.0"
"639.36","52.7","300","100.7","98.61","66.3","29.9"
"640.32","52.7","300","100.9","98.59","55.3","29.8"
"641.28","52.6","300","100.9","98.60","40.0","29.6"
"642.24","52.6","300","100.9","98.60","58.7","29.5"
"643.2","52.6","300","100.9","98.58","72.4","29.4"
"644.16","52.6","300","100.9","98.59","42.8","29.3"
"645.12","52.5","300","100.9","98.60","64.3","29.3"
"646.08","52.5","301","100.9","98.59","61.5","29.1"
"647.04","52.5","300","100.9","98.57","56.1","29.0"
"648","52.5","299","100.9","98.61","70.0","29.0"
"648.96","52.4","300","100.9","98.59","41.6","28.9"
"649.92","52.4","300","100.9","98.59","72.9","28.8"
"650.88","52.3","300","100.9","98.63","51.7","28.7"
"651.84","52.3","300","100.9","98.60","62.6","28.6"
"652.8","52.3","301","100.9","98.61","40.0","28.6"
"653.76","52.2","301","100.9","98.60","40.0","28.5"
"654.72","52.2","300","100.9","98.59","40.0","28.4"
"655.68","52.2","301","100.9","98.59","69.2","28.3"
"656.64","52.1","302","100.9","98.59","58.0","28.3"
"657.6","52.0","302","100.9","98.57","61.6","28.2"
"658.56","52.0","303","100.9","98.59","69.6","28.1"
"659.52","51.9","304","100.9","98.59","67.0","28.1"
"660.48","51.9","304","100.9","98.63","54.2","28.0"
"661.44","51.9","304","100.9","98.62","67.2","28.0"
"662.4","51.8","304","100.9","98.65","52.3","27.9"
"663.36","51.8","304","100.9","98.62","43.5","27.8"
"664.32","51.7","305","100.9","98.61","72.4","27.8"
"665.28","51.7","305","100.9","98.59","65.8","27.8"
"666.24","51.6","305","100.9","98.58","56.8","27.7"
"667.2","51.6","305","100.9","98.61","57.3","27.7"
"668.16","51.5","305","100.9","98.59","54.4","27.6"
"669.12","51.5","305","100.9","98.60","67.6","27.6"
"670.08","51.4","306","100.9","98.60","46.0","27.5"
"671.04","51.3","306","100.9","98.59","76.0","27.5"
"672","51.3","306","100.9","98.65","66.9","27.4"
"672.96","51.2","307","100.9","98.58","55.9","27.4"
"673.92","51.1","307","100.9","98.59","40.4","27.3"
"674.88","51.1","307","100.9","98.60","56.0","27.3"
"675.84","51.0","307","100.9","98.62","70.8","27.3"
"676.8","51.0","307","100.9","98.61","43.1","27.2"
"677.76","50.9","307","100.9","98.60","65.3","27.2"
"678.72","50.8","307","100.9","98.59","74.8","27.2"
"679.68","50.8","307","100.9","98.60","40.0","27.1"
"680.64","50.7","308","100.9","98.60","68.5","27.1"
"681.6","50.7","308","100.9","98.62","71.0","27.0"
"682.56","50.6","308","100.9","98.63","60.9","27.0"
"683.52","50.5","307","100.9","98.62","71.6","27.0"
"684.48","50.5","308","100.9","98.59","64.1","27.0"
"685.44","50.4","308","100.9","98.61","55.7","26.9"
"686.4","50.3","308","100.9","98.60","40.0","26.9"
"687.36","50.3","308","100.9","98.58","69.5","26.9"
"688.32","50.2","309","100.9","98.60","74.9","26.8"
"689.28","50.2","310","100.9","98.61","64.0","26.8"
"690.24","50.1","305","101.1","98.61","70.4","26.8"
"691.2","50.0","299","101.1","98.61","57.7","26.8"
"692.16","50.0","304","101.1","98.61","65.9","26.8"
"693.12","49.9","309","101.1","98.59","52.6","26.7"
"694.08","49.9","310","100.9","98.63","47.3","26.7"
"695.04","49.8","307","97.2","98.58","73.5","26.7"
"696","49.8","310","97.2","98.56","40.0","26.7"
"696.96","49.7","312","97.2","98.60","65.8","26.6"
"697.92","49.7","312","97.2","98.60","40.0","26.6"
"698.88","49.6","310","97.2","98.60","62.7","26.6"
"699.84","49.5","308","97.2","98.59","56.5","26.6"
"700.8","49.5","311","97.2","98.62","69.0","26.6"
"701.76","49.4","291","97.2","98.61","68.8","26.5"
"702.72","49.4","296","97.2","98.57","65.4","26.5"
"703.68","49.3","294","97.2","98.59","64.2","26.5"
"704.64","49.3","292","97.2","98.61","65.2","26.5"
"705.6","49.2","291","97.2","98.61","65.1","26.5"
"706.56","49.2","291","97.2","98.58","40.0","26.5"
"707.52","49.2","267","97.2","98.59","40.0","26.4"
"708.48","49.1","280","97.2","98.59","40.0","26.4"
"709.44","49.1","164","97.2","98.61","76.6","26.4"
"710.4","49.0","116","97.2","98.59","72.2","26.4"
"711.36","49.0","140","97.2","98.62","40.0","26.4"
"712.32","48.9","281","97.2","98.58","41.3","26.3"
"713.28","48.8","149","97.2","98.61","107.1","26.3"
"714.24","48.8","206","97.2","98.58","54.9","26.3"
"715.2","48.9","293","97.2","98.63","50.4","26.3"
"716.16","49.0","300","97.2","98.57","63.7","26.3"
"717.12","49.0","280","97.2","98.61","76.4","26.3"
"718.08","49.0","312","97.2","98.59","42.7","26.3"
"719.04","49.0","299","97.2","98.62","40.0","26.3"
"720","49.0","306","97.2","98.62","82.5","26.2"
"720.96","48.9","313","97.2","98.61","75.9","26.2"
"721.92","48.9","314","97.2","98.61","42.7","26.2"
"722.88","48.8","320","97.2","98.59","44.3","26.2"
"723.84","48.8","323","97.2","98.61","69.9","26.2"
"724.8","48.7","325","97.2","98.60","62.5","26.2"
"725.76","48.7","326","97.2","98.59","76.0","26.2"
"726.72","48.6","326","97.2","98.59","70.4","26.2"
"727.68","48.6","322","97.2","98.58","41.0","26.2"
"728.64","48.5","291","97.2","98.56","49.2","26.2"
"729.6","48.5","181","97.2","98.60","66.0","26.2"
"730.56","48.5","171","97.2","98.58","70.1","26.3"
"731.52","48.4","221","97.2","98.62","62.5","26.4"
"732.48","48.4","238","97.4","98.63","40.0","26.4"
"733.44","48.3","243","97.2","98.61","40.0","26.4"
